task_cluster,condition,ahb_svm_acc,ahb_xgb_acc,ahb_interval_acc,ahb_tap_acc,ours_swipe_acc,ours_interval_acc,ours_tap_acc
Social Media,Raw,0.9817,1.0000,0.8838,0.9977,0.9804,0.9935,0.9994
Social Media,B-spline,0.9633,0.9817,0.8838,0.9977,0.9804,0.9935,0.9994
Social Media,History,0.9633,0.9450,0.8838,0.9977,0.9804,0.9935,0.9994
Social Media,Long Tap,0.9773,1.0000,0.8798,0.6341,0.9085,0.9275,0.9330
Shopping,Raw,0.9887,1.0000,0.9056,0.9840,0.9719,0.9887,0.9945
Shopping,B-spline,0.9774,0.9925,0.9056,0.9840,0.9719,0.9887,0.9945
Shopping,History,0.9323,0.9925,0.9056,0.9840,0.9719,0.9887,0.9945
Shopping,Long Tap,0.9778,1.0000,0.8969,0.6133,0.9219,0.9158,0.9079
Video Streaming,Raw,0.9850,1.0000,0.9186,0.9956,0.9342,0.9755,0.9966
Video Streaming,B-spline,0.9650,0.9850,0.9186,0.9956,0.9342,0.9755,0.9966
Video Streaming,History,0.9300,0.9850,0.9186,0.9956,0.9342,0.9755,0.9966
Video Streaming,Long Tap,0.9950,1.0000,0.9120,0.6186,0.9167,0.9284,0.9362
Trip Planning,Raw,0.9817,0.9954,0.7998,0.9954,1.0000,0.9971,0.9990
Trip Planning,B-spline,0.9726,0.9909,0.7998,0.9954,1.0000,0.9971,0.9990
Trip Planning,History,0.8995,0.9863,0.7998,0.9954,1.0000,0.9971,0.9990
Trip Planning,Long Tap,0.9953,1.0000,0.8047,0.6264,0.9699,0.9263,0.9186
Office & Learning,Raw,0.9826,1.0000,0.8744,0.9974,0.9870,0.9941,0.9970
Office & Learning,B-spline,0.9739,0.9913,0.8744,0.9974,0.9870,0.9941,0.9970
Office & Learning,History,0.9391,0.9739,0.8744,0.9974,0.9870,0.9941,0.9970
Office & Learning,Long Tap,0.9926,0.9926,0.8803,0.6263,0.9870,0.9620,0.9527
